url,nazev,nace,ulice_cp,psc_obec,souradnice,adm,prikon,paliva,nox,co,voc,tzl,so2,ostatni,amoniak,co2
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/650910251_CZ.html,"TEREA Cheb s.r.o. - výtopna Nemocnice, Cheb",353010,K Nemocnici 2514/17,350 02 Cheb,"50° 4´ 12.548"" sš 12° 22´ 6.167"" vd",31011942,"20,3","plynové oleje pro topení (obsah síry max. do 0,1 % vč.), zemní plyn (průměrná výhř. 34050 kJ/m3)","3,262","1,133",n/a,"0,000","0,000","0,000",n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/650910121_CZ.html,"TEREA Cheb s.r.o. - výtopna Riegrova, Cheb",353010,Riegrova 6064,350 02 Cheb,"50° 4´ 12.232"" sš 12° 22´ 43.736"" vd",n/a,"14,8","plynové oleje pro topení (obsah síry max. do 0,1 % vč.), zemní plyn (průměrná výhř. 34050 kJ/m3)","5,720","2,024",n/a,"0,000","0,000","0,000",n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/650910131_CZ.html,"TEREA Cheb s.r.o. - výtopna Skalka, Cheb",353010,Americká 1489/24,350 02 Cheb,"50° 4´ 27.256"" sš 12° 21´ 33.019"" vd",20907281,"20,4","plynové oleje pro topení (obsah síry max. do 0,1 % vč.), zemní plyn (průměrná výhř. 34050 kJ/m3)","6,625","1,594",n/a,"0,000","0,000","0,000",n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/650910221_CZ.html,"TEREA Cheb s.r.o. - výtopna Zlatý vrch, Cheb",353010,Slavice 2106/3,350 02 Cheb,"50° 5´ 12.973"" sš 12° 22´ 54.486"" vd",25089994,"7,3",zemní plyn (průměrná výhř. 34050 kJ/m3),"2,619","1,556",n/a,n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410200322_CZ.html,"TERMO & CO, s.r.o. - Cheb",353000,Žižkova 2669/6,350 02 Cheb,"50° 4´ 28.616"" sš 12° 22´ 45.666"" vd",42590922,"0,4",hnědé uhlí tříděné,"0,259","0,371",n/a,"0,102","1,852",n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410101142_CZ.html,Tesco Stores ČR a.s. - HM Aš,471100,Chebská 2934,352 01 Aš,"50° 12´ 50.787"" sš 12° 12´ 0.034"" vd",28165578,"0,5",nafta,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410212502_CZ.html,Tesco Stores ČR a.s. - HM Cheb,471100,Pražská 2494/15,350 02 Cheb,"50° 4´ 55.312"" sš 12° 22´ 44.492"" vd",27450503,"1,2","nafta, zemní plyn (průměrná výhř. 34050 kJ/m3)","0,047","0,002",n/a,n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410570112_CZ.html,Tesco Stores ČR a.s. - HM Mariánské Lázně,471100,Chebská 870/23,353 01 Mariánské Lázně,"49° 57´ 49.331"" sš 12° 41´ 44.392"" vd",40319679,"0,5",nafta,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/410200392_CZ.html,TRITIA spol. s r.o. - Cheb,107100,Truhlářská 7/1724,350 02 Cheb,"50° 5´ 3.497"" sš 12° 22´ 52.203"" vd",n/a,"3,0",zemní plyn (průměrná výhř. 34050 kJ/m3),"0,681","0,180",n/a,n/a,n/a,n/a,n/a,n/a
http://portal.chmi.cz/files/portal/docs/uoco/web_generator/plants/CZ041/650910013_CZ.html,TUP Bohemia s.r.o. Cheb,293200,Průmyslový park 157/7,350 02 Cheb,"50° 5´ 15.459"" sš 12° 24´ 16.430"" vd",27114058,,,n/a,n/a,"0,285",n/a,n/a,"1,030",n/a,n/a
