zdroj_id,nazev,mnozstvi
732251011,oxidy dusíku,0.068
732251011,těkavé organické látky (VOC),2.196
732251011,chrom šestimocný,5e-06
732251011,"nikl a jeho sloučeniny, vyjádřené jako Ni",8.2e-06
732251011,"zinek a jeho sloučeniny, vyjádřené jako Zn",0.0001003
732251011,kyanidy vyjádřené jako CN,3.9e-05
732251011,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.0025
731330023,oxidy dusíku,0.617
731330023,oxid uhelnatý,0.0
728160611,tuhé znečišťující látky,0.0
728160611,oxidy dusíku,1.613
728160611,oxid uhelnatý,0.086
119806682,těkavé organické látky (VOC),0.995
310000142,tuhé znečišťující látky,0.18
728220413,těkavé organické látky (VOC),0.063
731430083,tuhé znečišťující látky,0.005
731430083,těkavé organické látky (VOC),0.945
731430083,formaldehyd,0.000188
727750403,těkavé organické látky (VOC),1.554
731438251,oxid siřičitý,1.187
731438251,oxidy dusíku,0.436
731438251,oxid uhelnatý,0.013
731438251,organické látky vyjádřené jako TOC,1.751
731438251,těkavé organické látky (VOC),4.607
731438251,chrom (bez šestimocného chromu),0.0
731438251,"kadmium a jeho sloučeniny, vyjádřené jako Cd",0.0
731438251,"nikl a jeho sloučeniny, vyjádřené jako Ni",0.0
731438251,Kyselina sirova,0.006
731438251,"fluor a jeho anorg.sloučeniny, vyjádřené jako F",0.008
731438251,kyanovodík,0.001
731438251,plynné sloučeniny chloru vyjádřené jako chlorovodík,0.12
730950231,těkavé organické látky (VOC),0.408
310065822,tuhé znečišťující látky,0.0
310065822,oxidy dusíku,0.68
310065822,oxid uhelnatý,0.585
310065822,organické látky vyjádřené jako TOC,0.05
310065822,těkavé organické látky (VOC),0.598
738620103,oxidy dusíku,0.092
738620103,oxid uhelnatý,0.004
729710061,oxidy dusíku,4.587
729710061,oxid uhelnatý,0.211
729710061,těkavé organické látky (VOC),0.935
729710061,amoniak,0.002
729710061,benzen,0.0
310027602,oxidy dusíku,0.045
310027602,oxid uhelnatý,0.017
310091522,těkavé organické látky (VOC),0.513
731280043,oxidy dusíku,0.002
731280043,oxid uhelnatý,0.005
731280043,těkavé organické látky (VOC),3.007
643770353,těkavé organické látky (VOC),0.802
310092852,oxidy dusíku,0.029
732050053,tuhé znečišťující látky,0.029
732050053,těkavé organické látky (VOC),0.397
732450901,těkavé organické látky (VOC),0.026
728830641,těkavé organické látky (VOC),0.078
