id,nazev,nace,nuts3,ulice_cp,psc_obec,adm,x,y,lat,lon,prikon,nox,so2,co,co2,tzl,voc,amoniak,ostatni,paliva
916939121,ČESKÁ NÁRODNÍ BANKA - ZÁLOŽNÍ PRACOVIŠTĚ ZLIČÍN,641100,CZ010,Strojírenská 175/25,155 21 Praha,22144994,-752501.0700000003,-1044030.9299999997,50.06644306363696,14.289082361836382,3.4,0,0,0,0,0,0,0,0,nafta
731280123,"Česká pošta, s.p. - Praha, Poděbradská",531000,CZ010,Poděbradská 312/39,190 00 Praha,22543147,-735695.3900000006,-1042168.3599999994,50.10366725391669,14.518167311510227,0.4,0,0,0,0,0,0,0,0,nafta
310064472,"Česká pošta, s.p. - Praha Sazečská",531000,CZ010,Sazečská 603/9,108 00 Praha,22714464,-736117,-1044647.9499999993,50.08106524172778,14.517009014910967,2.4,0,0,0,0,0,0,0,0,nafta
310069512,ČESKÁ TELEVIZE - Kavčí hory,602000,CZ010,Na hřebenech II 1132/4,147 00 Praha,22741453,-743042.7100000009,-1047131.6999999993,50.05049212991949,14.425870285959347,10.6,0,0,0,0,0,0,0,0.212,
730100353,"Česká zemědělská univerzita v Praze, Kamýcká 129, provozovna Menza A",854200,CZ010,Kamýcká 1068,165 00 Praha,31343490,,,,,5.6,0.282,0.004,0.034,0,0.008,0,0,0.029,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
119812332,České Radiokomunikace a.s. -  vysílač Praha - město,612090,CZ010,Mahlerovy sady 2699/1,130 00 Praha,22701605,-740747.5300000012,-1043993.1400000006,50.08125745990282,14.451665217804335,6.9,0.077,0.0,0.018,0,0.0,0,0,0.0,nafta
119806382,České Radiokomunikace a.s. - RO Strahov,612090,CZ010,Skokanská 2117/1,169 00 Praha,22172971,-746162.2300000004,-1043431.4800000004,50.07961839501587,14.37564530962286,2.2,0.067,0.0,0.005,0,0.0,0,0,0.0,nafta;zemní plyn (průměrná výhřevnost 34330 kJ/m3)
119802512,České teplo s.r.o. - areál MBÚ - kotelna Zk,353010,CZ010,,142 00 Praha,30482089,-740732.4299999997,-1051208.1000000015,50.01700583125703,14.465558490364545,2.5,0.124,0,0.005,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
731280263,České teplo s.r.o. - DA Garáže Klíčov,353010,CZ010,,190 00 Praha,,,,,,,0,0,0,0,0,0,0,0,nafta
732150043,České teplo s.r.o. - DA Garáže Vršovice,353010,CZ010,,101 00 Praha,,,,,,0.4,0,0,0,0,0,0,0,0,nafta
732451021,České teplo s.r.o. - horkovodní kotelna,353010,CZ010,U vozovny 590/6,108 00 Praha,22591761,-735209.4100000001,-1045541.2300000004,50.0742084506758,14.531257921971678,19.1,1.84,0,0.062,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
731640013,České teplo s.r.o. - Kotelna Mladoboleslavská 1116,353010,CZ010,Mladoboleslavská 1116,197 00 Praha,77881362,-733530.3900000006,-1039447.9400000013,50.13052873438809,14.543033309623542,0.5,0.029,0,0.001,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
731640023,České teplo s.r.o. - Kotelna Mladoboleslavská 1121,353010,CZ010,Mladoboleslavská 1121,197 00 Praha,79083501,-733575.129999999,-1039329.7899999991,50.13152715088533,14.542190599140566,0.4,0.025,0,0.001,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
310097642,České teplo s.r.o. - Metro Zličín,353010,CZ010,Na Radosti 132/51,155 21 Praha,22758101,-753517.8200000003,-1045626.75,50.0509693487156,14.278097386492384,4.5,0.377,0,0.0,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
310099372,"České teplo s.r.o. - Praha - Dopravní podnik - garáž Řepy, R",353010,CZ010,Reinerova 701/6,163 00 Praha,22249788,-751135.8900000006,-1043317.7399999984,50.07448757359451,14.306596509843901,4.8,0.328,0,0.015,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
310000442,České teplo s.r.o. - Praha - Dopravní podnik - nám.Hrdinů,353010,CZ010,náměstí Hrdinů 725/13,140 00 Praha,21946078,-742101.9100000001,-1046562.9299999997,50.056710406565635,14.43780416231883,1.6,0.136,0,0.006,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
310094272,"České teplo s.r.o. - Praha, obytný soubor Šafránka",353010,CZ010,Dělená 957/1,155 00 Praha,26759799,-750546.129999999,-1047486.7300000004,50.03809089426967,14.322773551309316,2.0,0.178,0,0.0,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
728220871,České teplo s.r.o. - Správa vozidel Kačerov,353010,CZ010,Ke garážím 1556/2,140 00 Praha,73177997,-740254.5700000003,-1048679.6999999993,50.04011212196669,14.467376625960243,10.2,0.856,0,0.0,0,0,0,0,0,nafta;zemní plyn (průměrná výhřevnost 34330 kJ/m3)
732051011,České teplo s.r.o. - Technolog.plyn.kotelna - DP - OZM Hostivař,353010,CZ010,Sazečská 227/1,108 00 Praha,22601619,-736117.2300000004,-1045382.5599999987,50.07452047652414,14.518391938223221,5.9,0.112,0,0.002,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
731940203,České teplo s.r.o. - Vozovna Strašnice,353010,CZ010,Starostrašnická 25/55,100 00 Praha,22599533,-738156.4899999984,-1044954.9299999997,50.075850523165265,14.48935540457804,0.7,0.354,0,0.015,0,0,0,0,0,zemní plyn (průměrná výhřevnost 34330 kJ/m3)
738620091,"Českomoravský cement, závod Radotín",235100,CZ010,K cementárně 1261/25,153 02 Praha,22057013,,,,,3.3,871.657,36.653,189.727,0,10.481,0,48.574,5.322433031400001,nafta;zemní plyn (průměrná výhřevnost 34330 kJ/m3)
310097982,"Českomoravský cement, závod Radotín, lom Hvížďalka, Praha",235100,CZ010,,153 00 Praha,,,,,,,0,0,0,0,0.388,0,0,0,
310097992,"Českomoravský cement, závod Radotín, lom Špička, Praha",235100,CZ010,,153 00 Praha,,,,,,,0,0,0,0,0.072,0,0,0,
727071793,D-Eco Friendly Company s.r.o. Celnice,960100,CZ010,V celnici 1038/3,110 00 Praha,21708622,-742136.9100000001,-1042991.1799999997,50.088482744747495,14.430525916349225,,0,0,0,0,0,0.004,0,0,
920770263,D-Eco Friendly Company s.r.o. HM Globus,960100,CZ010,Sárská 133/5,155 00 Praha,24990493,-752186.3000000007,-1045578.3999999985,50.05305323668952,14.296419636846919,,0,0,0,0,0,0.004,0,0,
729580253,D-Eco Friendly Company s.r.o. HM Kaufland,960100,CZ010,Bělohorská 2426/205,169 00 Praha,27918874,-748774.5500000007,-1043316.0599999987,50.07742452514403,14.339270020912348,,0,0,0,0,0,0.004,0,0,
319900842,Domanský s.r.o.,451100,CZ010,Českobrodská 566,198 00 Praha,25102192,-733237.5399999991,-1044310.9400000013,50.087557577485896,14.556243258311893,,0,0,0,0,0,0.652,0,0,
319900362,"Dopravní podnik hl. m. Prahy, a.s. - Depo Hostivař",493100,CZ010,Sazečská 227/1,108 00 Praha,22601619,-736117.2300000004,-1045382.5599999987,50.07452047652414,14.518391938223221,,0,0,0,0,0,0.422,0,0,
732050411,"Dopravní podnik hl. m. Prahy, a.s. - Depo Hostivař - OZM",493100,CZ010,Sazečská 3206/3,108 00 Praha,22758356,-735998.8000000007,-1045461.6600000001,50.07395957001465,14.520180544221047,,0,0,0,0,0.146,0.826,0,0,
310065712,"Dopravní podnik hl. m. Prahy, a.s. - Depo Kačerov",493100,CZ010,Sliačská 1150/1,141 00 Praha,21912343,-740110.1799999997,-1048369.5100000016,50.043051492534495,14.468786139337835,0.4,0,0,0,0,0,0.305,0,0,nafta
